TimeS,MagField,Throttle
2770.393862,571.9274429505897,71.6
2770.494134,570.2332855945889,70.8
2770.59389,563.0213139837603,74.1
2770.694107,533.3338541664124,75.3
2770.793801,525.0342845948253,74.8
2770.893951,537.5332547852272,72.7
2770.99372,523.728937523983,72.8
2771.093929,527.9261311964013,72.1
2771.19398,527.3224819785328,71.3
2771.293855,540.0527751988689,71.5
2771.393914,541.2845831907648,71.89999999999999
2771.493781,534.322936060207,74.6
2771.593714,529.340155287694,76.2
2771.693958,506.4721117692464,76.3
2771.793802,515.164051540866,75.7
2771.893666,525.1761609212665,76.2
2771.993871,510.21074077286926,76.6
2772.093545,540.7356100720573,75.9
2772.193596,541.3215310700286,74.4
2772.293847,560.4373292349467,73.9
2772.393562,536.4000372856065,73.4
2772.493728,538.480268904999,74.5
2772.593752,524.8285434310905,76.9
2772.693709,546.8070957842446,77.5
2772.793582,532.4931924447485,75.8
2772.893753,538.6678011539209,73.8
2772.993938,511.40883840622075,71.89999999999999
2773.093544,538.0734150652678,71.0
2773.193744,534.5886268898731,71.0
2773.293731,553.0587672209889,69.8
2773.393807,555.9739202516607,69.8
2773.493555,572.7660953652896,69.69999999999999
2773.593897,590.4040989017607,69.6
2773.693612,609.7647087196831,70.19999999999999
2773.793386,617.6155762284498,69.5
2773.893639,613.1973581156396,69.89999999999999
2773.993688,600.5805524656955,72.6
2774.093438,592.7849525755524,72.2
2774.193666,615.0479656091873,73.6
2774.293662,612.9551370206469,72.5
2774.393419,630.2800964650557,74.1
2774.493532,620.0854779786413,73.8
2774.593388,623.5591391359765,74.9
2774.693588,633.2685054540451,76.2
2774.793306,630.7186377458653,75.6
2774.893518,655.640145201619,75.9
2774.993286,649.1255656650723,73.2
2775.093467,658.6896082374459,73.9
2775.193297,661.5149280250598,74.5
2775.293344,628.9634329593414,75.1
2775.393545,611.7957175397684,77.4
2775.493233,574.8530246941386,78.0
2775.5935,545.8864350760147,76.6
2775.693194,550.8348209763068,73.2
2775.793486,553.4762867549069,71.89999999999999
2775.893188,566.1316101402571,71.39999999999999
2775.993345,598.5256886717561,71.6
2776.093477,595.567796308699,72.1
2776.193653,587.259738105721,71.5
2776.293137,565.9231396576747,72.7
2776.393325,564.1444850390723,71.5
2776.493474,548.0912332814675,71.6
2776.593325,564.7415338010832,70.89999999999999
2776.693423,567.0387993779615,71.7
2776.793361,580.1267102969833,72.6
2776.893067,581.9192383827846,71.6
2776.993321,572.3233351873747,72.3
2777.093338,560.0928494455183,73.0
2777.193377,528.9319426920632,73.0
2777.29325,536.6619047407781,73.2
2777.393237,533.6009745118538,71.1
2777.493143,537.6811322707912,72.3
2777.593197,554.0333924954343,73.1
2777.693321,532.7400867214706,73.3
2777.793263,522.5791806032843,73.3
2777.893278,540.4673903206372,74.8
2777.9932,552.4861989226519,74.3
2778.093262,576.7685844426688,72.0
2778.193246,577.8840714191731,59.599999999999994
2778.293239,563.0399630576857,58.4
2778.393383,557.3185803470041,59.5
2778.493238,549.6298754616602,64.5
2778.593077,545.0036697124158,63.6
2778.693455,528.0501870087729,61.3
2778.793093,520.143249499597,59.9
2778.893127,522.5523897180071,69.1
2778.993388,533.115372128773,77.60000000000001
2779.093158,551.2585600242412,82.1
2779.193047,561.9332700597109,81.6
2779.293135,562.7379496710703,79.7
2779.393135,564.2180429585711,79.5
2779.493081,570.0350866394103,78.4
2779.593124,561.633332344155,77.0
2779.693138,556.8725168294804,78.10000000000001
2779.793145,564.1178954793049,79.80000000000001
2779.893023,560.1526577639349,79.3
2779.992786,546.32407964504,76.8
2780.09305,548.9571932309476,55.60000000000001
2780.192848,530.6985961918498,54.7
2780.292814,531.0112993148074,55.900000000000006
2780.393067,527.4267721684215,57.599999999999994
2780.492708,546.748571100099,59.199999999999996
2780.592705,566.1104132587565,60.3
2780.693014,576.8908042255484,61.0
2780.793053,557.2378307329825,74.2
2780.892696,558.6000358037941,85.5
2780.99301,528.0426119168793,90.60000000000001
2781.092647,522.7647654538321,87.6
2781.192913,514.4424166026748,88.4
2781.292716,489.2627106166993,81.89999999999999
2781.392978,497.4695970609661,75.9
2781.492907,514.2227143952317,68.5
2781.592906,509.5586325438909,66.8
2781.692857,527.2124808841309,68.4
2781.792897,530.7362810285349,67.30000000000001
2781.892758,531.7226720763372,67.10000000000001
2781.992865,515.6791638218476,67.80000000000001
2782.092557,504.4551516240071,68.7
2782.192848,516.4620024745286,70.1
2782.292624,530.5892950295926,70.1
2782.392777,542.1706373458452,74.6
2782.492545,561.2494988861905,78.9
2782.592796,579.3677588544257,76.6
2782.692817,573.370735214137,74.4
2782.792808,580.9036064615195,75.8
2782.892783,568.014964591603,74.8
2782.992787,549.0,74.4
2783.092686,535.1411028878272,73.5
2783.192787,552.6255513455743,73.3
2783.292697,556.3964413976782,74.1
2783.392747,566.8703555487798,72.0
2783.492602,551.9501789111042,73.0
2783.592428,540.6893747800117,72.0
2783.692906,548.1870118855426,71.6
2783.792499,536.1697492399212,73.9
2783.892496,564.1639832530964,74.5
2783.992445,586.1672116384539,74.6
2784.092405,571.6607385504099,73.9
2784.192738,564.4537182090309,72.5
2784.292335,576.7269717986146,71.89999999999999
2784.39268,573.6906832082948,71.89999999999999
2784.492605,580.249084445637,72.3
2784.592299,589.8626958877803,72.0
2784.692285,574.2290483770391,71.3
2784.792527,583.2066529112986,69.0
2784.892213,570.9413279838831,71.7
2784.992321,566.2887955804882,71.2
2785.092523,570.5348367978944,71.8
2785.1923,575.865435670522,72.7
2785.292314,576.6185914449862,72.7
2785.392501,574.1402267739128,71.6
2785.492129,571.8470075116246,71.0
2785.592227,574.9173853694111,72.5
2785.692176,574.2429799309697,73.5
2785.792208,573.4814731096376,74.6
2785.8922,565.5386812588507,75.5
2785.992136,591.4904902025053,74.9
2786.09218,558.7673934652952,74.3
2786.192411,578.1461752878765,73.6
2786.292157,579.8629148341873,74.9
2786.392167,578.8350369492158,75.3
2786.492328,582.0670064520064,74.2
2786.592065,566.7883202748624,73.2
